employee_id,employee_name,contact_number,email,manager_id
1124,Ashley Reed,408-251-8092,jadelong@example.org,
1221,Audrey Phillips,467.827.9310x83028,rodgersricky@example.com,1124
9742,Alexander Hays,7405521057,nancy11@example.com,1124
9116,Adrian Robinson,-2971,rachelspencer@example.org,1124
1606,Erica Benson,+1-256-730-2405x216,scott29@example.org,1124
8511,Andrew Banks,+1-513-327-4414x132,joshuahenderson@example.org,1221
8838,Terry Freeman,+1-453-981-9320x68713,uboyer@example.org,9116
5955,Shannon Lopez,371-364-5869x3987,hstewart@example.com,9116
4428,Eric Edwards,001-753-412-1050,kelliebryant@example.net,5955
2660,Natalie Morris,(633)738-7389x931,jenniferperez@example.org,1221
8001,Robert Clay,001-494-569-5917x8193,taylornunez@example.org,1124
7448,Jermaine Dean,323-511-9179x416,adamhernandez@example.org,1221
4121,Christina Bates,237-715-4521,debbielee@example.com,5955
9487,Craig Vega,740-228-1965x6642,goodwinaustin@example.org,8001
3523,Nancy Cox,905.845.0689,summersjessica@example.com,4121
2179,Veronica Little,(322)552-4980x3689,chanruben@example.com,8001
8154,Douglas Baker,(843)428-3036x7032,gomezjeffrey@example.net,8001
3185,Kenneth Ayala,+1-837-693-7206x01621,aflores@example.com,9487
1741,Susan Baldwin,508-866-8746x9433,nguyendanielle@example.org,7448
4287,Alexis Swanson,+1-977-703-9977x8746,patrick41@example.org,3185
7650,Lisa Griffin,3213029375,hsloan@example.com,3185
6133,David Fields,(780)843-3003x9860,ruizstacy@example.org,9116
7416,Yvonne King,345.708.4227x1954,travis19@example.net,6133
2118,Steven Harris,001-247-659-0182x556,danielpadilla@example.org,7650
8874,Jamie Martinez,334-857-9103x774,kennethbutler@example.com,8154
6694,James Mccoy,001-818-546-1840x32077,lisa55@example.org,2660
4722,Candice Barnes,+1-425-980-1317x959,steven67@example.com,4121
7733,Thomas Sullivan,+1-556-257-8361x12969,brownricardo@example.org,4287
7419,Erica Underwood,372.873.0721x73769,anthony74@example.com,7416
6583,Jordan Norman,+1-672-636-7956x0259,ibutler@example.com,9742
9549,Bailey Barnes,(780)705-0685x7295,lindaclayton@example.com,8874
1475,Gregory Winters,929-380-5790x7542,hesternatalie@example.net,7419
9371,Kimberly Harmon,(243)483-0807x9690,thompsonthomas@example.net,2179
3080,William Zimmerman,001-971-957-7031x50235,haleydavenport@example.net,1741
9999,Michael Rodriguez,(439)945-2089,john41@example.org,4287
780,Erica Reed,+1-938-818-2052x320,jennifernguyen@example.com,9999
9206,Joshua Fox,(674)789-3212x9646,jfox@example.com,8001
8242,Matthew Miller,001-506-679-3094x979,shawnrichardson@example.com,9206
8878,James Anderson,+1-834-816-3323x02250,steven83@example.org,8838
8005,Jay Edwards,222.992.2707x3709,fmartinez@example.com,7448
914,Jerry Wood,3919820191,matthewwalker@example.org,2660
5666,Austin Haynes,851.800.1103x020,rwillis@example.com,1606
6505,Jasmin Smith,492.498.1766x769,christian83@example.org,3185
9220,David Williams,427.597.5015x645,brett59@example.org,2179
1078,Daniel Young,+1-924-753-6758x245,carterterri@example.org,9487
9590,Brad Burton,001-391-258-5561,stephencook@example.com,5955
9857,Jeffrey Bauer,888-339-3582x784,felicia20@example.org,6133
2764,Joshua Carter,001-246-253-9528x2490,colonchristopher@example.net,8511
9284,Willie Terry,+1-636-623-3282x792,lhartman@example.org,9590
9168,Candice Scott,(575)692-3909x19840,wbuck@example.org,4287
4840,Amber Evans,(497)822-3491,tsteele@example.org,8242
733,Wanda Berry,001-686-720-0950x19550,williamsonrobert@example.org,3185
2010,Anthony Hunt,3935891193,singletongregory@example.com,7448
1755,Bruce Gonzalez,766.645.1708x627,sarahbray@example.org,4428
2918,Ashley Hopkins,308.854.4102x668,lhudson@example.net,1221
9261,Elizabeth Arnold,-3054,tiffanyhernandez@example.net,8154
3996,Nathan White,896-710-6944x77122,erinacosta@example.org,1078
9147,Danielle Barrett,356-228-6446x158,dylan54@example.com,2764
4655,Willie Johnson,8079156257,joshuadalton@example.com,1606
270,Brandon Robinson,(799)816-5244,sarah18@example.org,7419
3449,Ashley Jones,001-252-620-0233x7416,cjones@example.org,9261
7878,Crystal Kelly,+1-767-213-2821x5642,ubrown@example.org,7650
7643,Michael Young,001-504-719-6832,nmoreno@example.com,1755
7138,Daniel Patel,001-923-319-7403,austin51@example.org,9261
2781,Lori White,(439)490-4238,kari47@example.net,2660
900,William Richardson,587.924.6277x4836,uwhite@example.com,1221
7040,Alyssa Erickson,9888244093,moorecarolyn@example.net,2660
7579,Amber Snyder,219-942-0358,davidmills@example.net,9857
5825,William Morales,-6243,tmckinney@example.net,7416
8805,Bryce Ross,+1-896-612-9857x9941,joseph01@example.org,733
1341,Charles Zuniga,(464)221-3421,turnerbenjamin@example.net,7040
3259,Eric Smith,+1-917-453-0550x2186,simsdebra@example.com,2781
7295,Jennifer Lindsey,+1-976-482-8378x4561,dmanning@example.net,6505
9608,Megan Hernandez,(630)252-6372x4515,camposkristopher@example.net,8242
1434,Elizabeth Rice,(696)969-6073,plawson@example.org,8154
8933,Jamie Arnold,(749)547-8894,stephanie77@example.net,8005
1340,Christopher Miller,808.484.9515x850,reevesmichael@example.net,7733
